timeStemp,Label,AP1_Distance (mm),AP2_Distance (mm),AP3_Distance (mm),AP4_Distance (mm),AP1_Rssi,AP2_Rssi,AP3_Rssi,AP4_Rssi,AP1_StdDev (mm),AP2_StdDev (mm),AP3_StdDev (mm),AP4_StdDev (mm)
553899001,49,6577.0,2085.0,750.0,7666.0,-72.0,-70.0,-61.0,-60.0,937.0,1272.0,498.0,678.0
553899015,49,6430.0,2358.0,672.0,7705.0,-63.0,-71.0,-61.0,-60.0,781.0,1219.0,565.0,762.0
553899029,49,6313.0,2358.0,633.0,7627.0,-72.0,-76.0,-60.0,-61.0,949.0,685.0,662.0,723.0
553899043,49,6577.0,2124.0,516.0,7717.0,-73.0,-73.0,-60.0,-59.0,636.0,1277.0,711.0,762.0
553899057,49,4230.0,2514.0,516.0,7705.0,-73.0,-74.0,-61.0,-60.0,2970.0,680.0,671.0,735.0
553899071,49,6313.0,2163.0,516.0,7510.0,-74.0,-70.0,-60.0,-59.0,471.0,1185.0,719.0,939.0
553899085,49,6430.0,2319.0,516.0,7627.0,-75.0,-74.0,-60.0,-61.0,644.0,876.0,674.0,748.0
553899099,49,6225.0,2319.0,672.0,7588.0,-74.0,-74.0,-61.0,-61.0,838.0,1165.0,549.0,750.0
553899113,49,6489.0,2514.0,460.0,7627.0,-74.0,-74.0,-60.0,-60.0,500.0,784.0,708.0,708.0
553899128,49,4025.0,2358.0,555.0,7666.0,-68.0,-74.0,-61.0,-60.0,4089.0,987.0,622.0,671.0
553899143,49,6225.0,2280.0,633.0,7705.0,-72.0,-70.0,-61.0,-61.0,767.0,1158.0,494.0,752.0
553899157,49,5991.0,2280.0,360.0,7588.0,-76.0,-69.0,-55.0,-61.0,710.0,1144.0,1658.0,752.0
553899171,49,6313.0,2124.0,594.0,7627.0,-73.0,-69.0,-60.0,-61.0,720.0,1210.0,533.0,722.0
553899185,49,6313.0,2280.0,401.0,7744.0,-73.0,-68.0,-60.0,-61.0,717.0,1258.0,685.0,659.0
553899197,49,6196.0,2280.0,594.0,7952.0,-75.0,-69.0,-61.0,-60.0,832.0,1071.0,533.0,639.0
553899210,49,6167.0,2358.0,711.0,7627.0,-71.0,-71.0,-59.0,-61.0,1550.0,1263.0,579.0,678.0
553899224,49,6782.0,2202.0,711.0,7705.0,-75.0,-75.0,-61.0,-61.0,520.0,679.0,587.0,720.0
553899239,49,6020.0,2319.0,1112.0,7666.0,-75.0,-73.0,-54.0,-61.0,555.0,885.0,495.0,772.0
553899253,49,6284.0,2358.0,477.0,7666.0,-74.0,-74.0,-60.0,-60.0,804.0,872.0,661.0,800.0
553899267,49,6079.0,2280.0,401.0,7757.0,-75.0,-73.0,-58.0,-58.0,869.0,1011.0,713.0,743.0
553899280,49,5786.0,2436.0,,7627.0,-72.0,-72.0,,-60.0,874.0,992.0,,743.0
553899294,49,6343.0,2280.0,438.0,7510.0,-71.0,-73.0,-59.0,-61.0,721.0,1025.0,727.0,777.0
553899308,49,6460.0,2397.0,711.0,6431.0,-72.0,-76.0,-59.0,-58.0,764.0,708.0,600.0,2067.0
553899322,49,6460.0,2436.0,711.0,7705.0,-72.0,-77.0,-60.0,-61.0,974.0,727.0,590.0,728.0
553899336,49,6518.0,2241.0,438.0,7588.0,-72.0,-74.0,-60.0,-61.0,826.0,1189.0,782.0,768.0
553899350,49,6196.0,2163.0,524.0,7744.0,-71.0,-73.0,-54.0,-60.0,1109.0,988.0,1627.0,734.0
553899364,49,6284.0,2319.0,438.0,7549.0,-72.0,-70.0,-60.0,-61.0,925.0,1327.0,662.0,808.0
553899379,49,6284.0,2319.0,399.0,7666.0,-73.0,-73.0,-61.0,-59.0,902.0,1252.0,659.0,879.0
553899392,49,6313.0,2475.0,516.0,7627.0,-72.0,-74.0,-56.0,-61.0,907.0,934.0,1211.0,757.0
553899406,49,6108.0,2436.0,555.0,7588.0,-73.0,-72.0,-61.0,-61.0,932.0,1082.0,549.0,739.0
553899420,49,6430.0,2241.0,594.0,7627.0,-72.0,-73.0,-58.0,-61.0,907.0,1032.0,608.0,780.0
553899434,49,6284.0,2475.0,594.0,7588.0,-72.0,-71.0,-61.0,-61.0,902.0,1166.0,523.0,759.0
553899449,49,6343.0,2436.0,477.0,7588.0,-65.0,-73.0,-61.0,-61.0,856.0,1344.0,590.0,785.0
553899462,49,6225.0,2436.0,282.0,7549.0,-72.0,-73.0,-61.0,-61.0,914.0,1414.0,786.0,796.0
553899476,49,6313.0,2241.0,711.0,7588.0,-72.0,-74.0,-61.0,-61.0,929.0,1120.0,492.0,751.0
553899490,49,6284.0,2319.0,477.0,7705.0,-71.0,-73.0,-62.0,-61.0,943.0,1253.0,688.0,780.0
553899505,49,6518.0,2593.0,575.0,7510.0,-72.0,-75.0,-60.0,-61.0,747.0,990.0,740.0,849.0
553899519,49,6343.0,2358.0,672.0,7568.0,-72.0,-75.0,-60.0,-61.0,777.0,974.0,541.0,790.0
553899533,49,6284.0,2319.0,282.0,7705.0,-71.0,-75.0,-59.0,-60.0,906.0,965.0,834.0,804.0
553899547,49,6343.0,2319.0,399.0,7822.0,-71.0,-75.0,-59.0,-60.0,892.0,892.0,759.0,707.0
553899561,49,6343.0,2358.0,438.0,7705.0,-72.0,-75.0,-59.0,-61.0,969.0,827.0,724.0,763.0
553899575,49,6343.0,2319.0,438.0,7666.0,-71.0,-75.0,-59.0,-60.0,872.0,1035.0,704.0,739.0
553899589,49,6430.0,2202.0,516.0,7666.0,-64.0,-75.0,-60.0,-57.0,927.0,1165.0,698.0,1218.0
553899603,49,6342.0,2358.0,438.0,7705.0,-71.0,-75.0,-60.0,-60.0,993.0,945.0,680.0,755.0
553899617,49,6343.0,2358.0,399.0,7666.0,-71.0,-75.0,-55.0,-61.0,994.0,928.0,734.0,730.0
553899631,49,6313.0,2202.0,594.0,7666.0,-71.0,-74.0,-60.0,-61.0,946.0,980.0,616.0,756.0
553899645,49,6343.0,2163.0,555.0,8225.0,-71.0,-75.0,-60.0,-56.0,956.0,967.0,650.0,802.0
553899659,49,6401.0,2163.0,360.0,7588.0,-71.0,-75.0,-60.0,-60.0,886.0,1015.0,770.0,837.0
553899673,49,6225.0,2358.0,477.0,7666.0,-71.0,-75.0,-60.0,-60.0,1027.0,887.0,724.0,774.0
553899687,49,6255.0,2280.0,489.0,7705.0,-71.0,-75.0,-59.0,-60.0,1019.0,895.0,743.0,751.0
553899701,49,6342.0,2280.0,477.0,7666.0,-71.0,-75.0,-59.0,-61.0,965.0,904.0,702.0,771.0
553899715,49,6313.0,2319.0,555.0,7705.0,-70.0,-75.0,-59.0,-60.0,986.0,898.0,577.0,753.0
553899729,49,6372.0,2436.0,643.0,8225.0,-71.0,-75.0,-55.0,-58.0,1014.0,749.0,625.0,657.0
553899743,49,6196.0,2280.0,516.0,7666.0,-71.0,-75.0,-60.0,-60.0,965.0,853.0,603.0,790.0
553899757,49,6167.0,2475.0,633.0,7627.0,-71.0,-75.0,-59.0,-60.0,1037.0,784.0,566.0,782.0
553899774,49,6284.0,2163.0,477.0,7744.0,-64.0,-75.0,-55.0,-60.0,906.0,997.0,708.0,749.0
553899791,49,6313.0,2358.0,633.0,7744.0,-72.0,-75.0,-60.0,-60.0,985.0,885.0,552.0,722.0
553899805,49,6401.0,2358.0,555.0,7666.0,-71.0,-75.0,-60.0,-60.0,942.0,872.0,584.0,799.0
553899819,49,6372.0,2241.0,594.0,7783.0,-71.0,-75.0,-59.0,-60.0,898.0,945.0,546.0,725.0
553899833,49,6372.0,2319.0,438.0,7666.0,-71.0,-75.0,-58.0,-60.0,999.0,924.0,595.0,764.0
553899847,49,6343.0,2358.0,,7744.0,-72.0,-75.0,,-60.0,874.0,858.0,,634.0
553899861,49,6313.0,2358.0,545.0,7705.0,-71.0,-75.0,-58.0,-60.0,969.0,841.0,627.0,744.0
553899875,49,6255.0,2280.0,477.0,7705.0,-71.0,-75.0,-60.0,-60.0,936.0,866.0,615.0,745.0
553899889,49,6284.0,2514.0,594.0,7656.0,-71.0,-75.0,-60.0,-59.0,978.0,748.0,590.0,786.0
553899902,49,6460.0,2319.0,516.0,7705.0,-71.0,-75.0,-60.0,-58.0,892.0,862.0,664.0,782.0
553899916,49,6313.0,2436.0,438.0,7627.0,-71.0,-75.0,-60.0,-60.0,933.0,760.0,664.0,763.0
553899930,49,,,438.0,,,,-60.0,,,,670.0,
553899931,49,6430.0,2397.0,,7627.0,-71.0,-75.0,,-59.0,827.0,826.0,,976.0
553899945,49,6460.0,2436.0,526.0,7744.0,-72.0,-75.0,-54.0,-60.0,873.0,871.0,578.0,749.0
553899959,49,6430.0,2358.0,594.0,7627.0,-72.0,-75.0,-60.0,-60.0,887.0,856.0,590.0,827.0
553899974,49,6313.0,2319.0,516.0,8186.0,-72.0,-76.0,-58.0,-59.0,933.0,818.0,602.0,577.0
553899989,49,4138.0,2241.0,477.0,7705.0,-61.0,-75.0,-60.0,-60.0,2767.0,834.0,593.0,732.0
553900003,49,6489.0,2241.0,594.0,7666.0,-71.0,-75.0,-60.0,-59.0,783.0,812.0,573.0,744.0
553900017,49,6460.0,2436.0,399.0,7588.0,-72.0,-75.0,-53.0,-60.0,821.0,674.0,1190.0,812.0
553900031,49,6430.0,2475.0,,7744.0,-72.0,-75.0,,-60.0,887.0,743.0,,703.0
553900045,49,6284.0,2280.0,438.0,7666.0,-71.0,-75.0,-57.0,-60.0,943.0,814.0,721.0,769.0
553900059,49,6343.0,2397.0,555.0,7666.0,-71.0,-75.0,-59.0,-60.0,952.0,795.0,635.0,724.0
553900073,49,6313.0,2514.0,399.0,7666.0,-71.0,-75.0,-59.0,-60.0,886.0,722.0,677.0,761.0
553900087,49,6313.0,2280.0,516.0,7783.0,-72.0,-75.0,-54.0,-60.0,1009.0,881.0,663.0,639.0
553900101,49,5607.0,2397.0,633.0,7588.0,-63.0,-75.0,-59.0,-60.0,1476.0,924.0,595.0,795.0
553900115,49,6489.0,2436.0,594.0,7588.0,-72.0,-76.0,-59.0,-60.0,879.0,760.0,633.0,771.0
553900129,49,6372.0,2436.0,-19.0,7705.0,-71.0,-76.0,-54.0,-60.0,953.0,784.0,1024.0,712.0
553900144,49,6313.0,2241.0,594.0,7705.0,-72.0,-75.0,-59.0,-60.0,929.0,858.0,606.0,777.0
553900159,49,6313.0,2241.0,594.0,7588.0,-71.0,-75.0,-59.0,-59.0,1005.0,858.0,616.0,1052.0
553900173,49,5548.0,2358.0,594.0,7686.0,-65.0,-75.0,-59.0,-60.0,1698.0,856.0,647.0,762.0
553900187,49,6372.0,2202.0,555.0,8108.0,-71.0,-76.0,-59.0,-59.0,861.0,892.0,656.0,612.0
553900202,49,6372.0,2436.0,604.0,7705.0,-72.0,-75.0,-59.0,-60.0,918.0,746.0,699.0,787.0
553900216,49,6548.0,2319.0,594.0,7832.0,-72.0,-76.0,-59.0,-60.0,797.0,866.0,603.0,636.0
553900231,49,6460.0,2280.0,438.0,7715.0,-72.0,-76.0,-59.0,-59.0,738.0,779.0,713.0,1229.0
553900245,49,5050.0,2397.0,516.0,7666.0,-72.0,-75.0,-59.0,-60.0,2210.0,770.0,698.0,785.0
553900259,49,6284.0,2475.0,555.0,7715.0,-72.0,-75.0,-59.0,-60.0,902.0,714.0,667.0,777.0
553900274,49,6430.0,2280.0,1620.0,7705.0,-72.0,-75.0,-54.0,-60.0,806.0,828.0,1035.0,743.0
553900289,49,6284.0,2397.0,633.0,7744.0,-71.0,-75.0,-59.0,-60.0,1039.0,811.0,580.0,749.0
553900303,49,6255.0,2358.0,438.0,7744.0,-72.0,-75.0,-60.0,-60.0,994.0,858.0,695.0,688.0
553900317,49,6343.0,2202.0,243.0,7705.0,-73.0,-75.0,-60.0,-60.0,861.0,847.0,806.0,691.0
553900330,49,6372.0,2319.0,516.0,7874.0,-73.0,-75.0,-60.0,-59.0,842.0,789.0,653.0,758.0
553900343,49,6284.0,2202.0,438.0,7952.0,-73.0,-75.0,-60.0,-59.0,906.0,834.0,650.0,739.0
553900356,49,6372.0,2319.0,321.0,7510.0,-73.0,-75.0,-61.0,-60.0,810.0,866.0,750.0,808.0
553900370,49,6430.0,2280.0,438.0,7627.0,-72.0,-75.0,-60.0,-60.0,814.0,823.0,680.0,854.0
553900385,49,6372.0,2202.0,399.0,7705.0,-71.0,-75.0,-56.0,-57.0,837.0,890.0,1123.0,837.0
553900399,49,6401.0,2436.0,370.0,7744.0,-72.0,-75.0,-56.0,-60.0,823.0,794.0,656.0,707.0
553900412,49,6460.0,2319.0,477.0,7686.0,-72.0,-75.0,-60.0,-60.0,815.0,847.0,619.0,754.0
553900427,49,6489.0,2319.0,487.0,7783.0,-72.0,-75.0,-60.0,-60.0,837.0,789.0,698.0,743.0
553900441,49,6518.0,2280.0,477.0,7920.0,-72.0,-75.0,-60.0,-60.0,787.0,795.0,590.0,1096.0
553900455,49,6518.0,2397.0,489.0,-5850.0,-72.0,-75.0,-60.0,-60.0,732.0,768.0,594.0,6012.0
553900469,49,6548.0,2280.0,682.0,7705.0,-73.0,-75.0,-55.0,-60.0,811.0,851.0,595.0,797.0
553900483,49,5401.0,2436.0,516.0,7666.0,-73.0,-75.0,-60.0,-60.0,1967.0,760.0,633.0,742.0
553900498,49,6548.0,2319.0,516.0,7861.0,-73.0,-76.0,-60.0,-60.0,711.0,849.0,630.0,704.0
553900513,49,6518.0,2397.0,319.0,7783.0,-73.0,-76.0,-54.0,-60.0,751.0,808.0,1948.0,723.0
553900527,49,6489.0,2475.0,594.0,7471.0,-73.0,-75.0,-60.0,-60.0,728.0,764.0,558.0,847.0
553900541,49,6460.0,2319.0,477.0,7803.0,-66.0,-75.0,-59.0,-60.0,840.0,847.0,630.0,672.0
553900555,49,6460.0,2202.0,203.0,7783.0,-73.0,-76.0,-59.0,-60.0,760.0,850.0,855.0,709.0
553900568,49,6548.0,,399.0,7666.0,-73.0,,-59.0,-60.0,676.0,,698.0,741.0
553900569,49,,2319.0,,,,-76.0,,,,776.0,,
553900582,49,4812.0,2436.0,282.0,7627.0,-62.0,-75.0,-59.0,-60.0,2391.0,749.0,771.0,804.0
553900596,49,6460.0,2280.0,594.0,7783.0,-73.0,-75.0,-59.0,-60.0,738.0,837.0,576.0,724.0
553900613,49,5167.0,2397.0,360.0,7627.0,-64.0,-75.0,-51.0,-57.0,2485.0,753.0,815.0,805.0
553900628,49,6460.0,2241.0,438.0,8069.0,-73.0,-76.0,-59.0,-58.0,777.0,842.0,743.0,600.0
553900642,49,6401.0,2436.0,438.0,8353.0,-72.0,-76.0,-59.0,-60.0,825.0,763.0,695.0,366.0
553900657,49,6372.0,2280.0,438.0,7666.0,-73.0,-75.0,-59.0,-60.0,865.0,844.0,753.0,972.0
553900671,49,6401.0,2358.0,477.0,7627.0,-72.0,-76.0,-59.0,-58.0,866.0,748.0,734.0,760.0
553900685,49,6430.0,2319.0,477.0,7705.0,-73.0,-76.0,-59.0,-60.0,769.0,862.0,648.0,757.0
553900699,49,6372.0,2397.0,282.0,7744.0,-73.0,-76.0,-59.0,-58.0,928.0,782.0,800.0,866.0
553900714,49,6372.0,2397.0,793.0,7744.0,-72.0,-75.0,-57.0,-57.0,908.0,840.0,541.0,1081.0
553900728,49,6430.0,2241.0,516.0,7627.0,-73.0,-76.0,-59.0,-60.0,795.0,812.0,640.0,695.0
553900742,49,6372.0,2202.0,594.0,7588.0,-73.0,-76.0,-59.0,-60.0,879.0,936.0,759.0,821.0
553900757,49,4640.0,2475.0,594.0,9118.0,-64.0,-76.0,-59.0,-57.0,2983.0,729.0,633.0,1440.0
553900771,49,6401.0,2397.0,633.0,7705.0,-73.0,-76.0,-59.0,-60.0,823.0,765.0,624.0,765.0
553900785,49,6430.0,2241.0,594.0,7744.0,-73.0,-76.0,-59.0,-60.0,870.0,858.0,1528.0,749.0
553900800,49,6518.0,2241.0,477.0,7666.0,-73.0,-76.0,-59.0,-60.0,752.0,856.0,682.0,776.0
553900814,49,6460.0,2397.0,516.0,7803.0,-73.0,-76.0,-59.0,-59.0,837.0,778.0,685.0,690.0
553900829,49,4903.0,2358.0,477.0,7861.0,-73.0,-76.0,-59.0,-60.0,2359.0,726.0,697.0,628.0
553900843,49,6401.0,2358.0,360.0,8069.0,-73.0,-76.0,-59.0,-59.0,844.0,771.0,751.0,594.0
553900857,49,6343.0,2397.0,516.0,7627.0,-73.0,-76.0,-59.0,-60.0,913.0,741.0,658.0,875.0
553900872,49,6304.0,2397.0,516.0,7627.0,-73.0,-76.0,-59.0,-60.0,857.0,738.0,685.0,822.0
553900886,49,6401.0,2358.0,321.0,7705.0,-73.0,-76.0,-59.0,-58.0,804.0,759.0,782.0,706.0
553900900,49,4816.0,2202.0,555.0,7783.0,-73.0,-76.0,-59.0,-60.0,2722.0,821.0,667.0,705.0
553900915,49,6460.0,2475.0,477.0,7913.0,-73.0,-76.0,-59.0,-59.0,736.0,729.0,702.0,773.0
553900929,49,6489.0,2241.0,555.0,7568.0,-73.0,-76.0,-59.0,-60.0,746.0,902.0,698.0,793.0
553900943,49,6430.0,2280.0,477.0,7627.0,-73.0,-76.0,-59.0,-60.0,818.0,798.0,697.0,740.0
553900957,49,,,477.0,,,,-59.0,,,,716.0,
553900958,49,6518.0,2241.0,,7666.0,-73.0,-76.0,,-60.0,846.0,844.0,,801.0
553900971,49,5343.0,2436.0,516.0,7744.0,-64.0,-76.0,-59.0,-60.0,1969.0,789.0,644.0,702.0
553900985,49,6343.0,2241.0,477.0,7588.0,-73.0,-76.0,-59.0,-60.0,990.0,916.0,654.0,823.0
553900998,49,6284.0,2475.0,633.0,7666.0,-73.0,-76.0,-54.0,-57.0,957.0,846.0,570.0,1009.0
553901012,49,8126.0,2241.0,516.0,7627.0,-66.0,-76.0,-59.0,-60.0,2338.0,918.0,624.0,775.0
553901027,49,6430.0,2202.0,360.0,7705.0,-73.0,-76.0,-59.0,-60.0,869.0,924.0,781.0,731.0
553901041,49,6313.0,2436.0,285.0,7744.0,-73.0,-76.0,-57.0,-60.0,910.0,760.0,796.0,682.0
553901055,49,6401.0,2319.0,477.0,7510.0,-73.0,-76.0,-54.0,-60.0,881.0,896.0,667.0,772.0
553901071,49,6401.0,2280.0,438.0,8213.0,-73.0,-76.0,-54.0,-60.0,944.0,955.0,1455.0,557.0
553901086,49,6430.0,2280.0,516.0,7744.0,-73.0,-76.0,-59.0,-60.0,965.0,1055.0,685.0,706.0
553901100,49,6313.0,2358.0,633.0,7783.0,-72.0,-75.0,-59.0,-60.0,984.0,974.0,593.0,684.0
553901114,49,6372.0,2397.0,477.0,7666.0,-73.0,-76.0,-59.0,-60.0,881.0,953.0,661.0,769.0
553901128,49,6460.0,2319.0,477.0,7744.0,-73.0,-75.0,-59.0,-60.0,858.0,1065.0,705.0,532.0
553901142,49,6313.0,2436.0,477.0,7588.0,-73.0,-75.0,-59.0,-57.0,965.0,952.0,694.0,828.0
553901157,49,6255.0,2358.0,545.0,7705.0,-73.0,-75.0,-59.0,-58.0,976.0,1057.0,590.0,918.0
553901171,49,6225.0,2241.0,401.0,7666.0,-73.0,-75.0,-59.0,-60.0,952.0,1043.0,695.0,783.0
553901186,49,6460.0,2202.0,438.0,7744.0,-73.0,-75.0,-54.0,-58.0,892.0,978.0,708.0,605.0
553901200,49,6430.0,2358.0,516.0,7549.0,-73.0,-76.0,-59.0,-60.0,809.0,947.0,662.0,840.0
553901215,49,6343.0,2397.0,555.0,7627.0,-73.0,-75.0,-59.0,-60.0,973.0,994.0,625.0,787.0
553901228,49,6372.0,2163.0,399.0,7627.0,-73.0,-75.0,-59.0,-60.0,879.0,1011.0,711.0,762.0
553901245,49,6401.0,2241.0,399.0,7705.0,-73.0,-76.0,-57.0,-60.0,847.0,947.0,732.0,779.0
553901259,49,4669.0,2397.0,438.0,7744.0,-73.0,-76.0,-59.0,-60.0,2915.0,881.0,796.0,703.0
553901272,49,6196.0,2280.0,594.0,7627.0,-73.0,-76.0,-59.0,-60.0,907.0,911.0,633.0,796.0
553901287,49,6460.0,2241.0,555.0,7666.0,-73.0,-75.0,-54.0,-60.0,817.0,962.0,5718.0,795.0
553901301,49,6460.0,2241.0,516.0,7686.0,-73.0,-76.0,-59.0,-60.0,834.0,990.0,629.0,740.0
553901315,49,6460.0,2202.0,372.0,7705.0,-73.0,-75.0,-56.0,-60.0,839.0,1055.0,768.0,724.0
553901329,49,6460.0,2514.0,672.0,7666.0,-73.0,-76.0,-59.0,-60.0,875.0,924.0,555.0,732.0
553901342,49,6489.0,2202.0,555.0,7705.0,-73.0,-76.0,-59.0,-60.0,961.0,994.0,653.0,760.0
553901355,49,6430.0,2358.0,555.0,7822.0,-73.0,-75.0,-59.0,-61.0,889.0,887.0,555.0,677.0
553901370,49,6489.0,2319.0,555.0,7822.0,-73.0,-75.0,-59.0,-61.0,903.0,979.0,605.0,664.0
553901384,49,6398.0,2241.0,555.0,7705.0,-66.0,-76.0,-59.0,-60.0,978.0,945.0,622.0,706.0
553901399,49,6489.0,2241.0,555.0,7568.0,-73.0,-76.0,-59.0,-60.0,843.0,976.0,584.0,765.0
553901413,49,6372.0,2280.0,516.0,7627.0,-66.0,-75.0,-59.0,-60.0,1409.0,909.0,679.0,735.0
553901427,49,6430.0,2202.0,555.0,7686.0,-73.0,-76.0,-57.0,-60.0,830.0,994.0,609.0,727.0
553901442,49,6460.0,2280.0,360.0,7744.0,-73.0,-76.0,-59.0,-60.0,837.0,997.0,734.0,730.0
553901456,49,6401.0,2358.0,143.0,7666.0,-73.0,-75.0,-54.0,-60.0,867.0,887.0,2290.0,744.0
553901471,49,6430.0,2358.0,477.0,7744.0,-73.0,-76.0,-59.0,-58.0,862.0,914.0,691.0,770.0
553901484,49,7511.0,2358.0,282.0,7666.0,-64.0,-76.0,-59.0,-60.0,1569.0,959.0,794.0,789.0
553901498,49,6401.0,2319.0,555.0,7861.0,-72.0,-75.0,-59.0,-60.0,924.0,920.0,670.0,615.0
553901512,49,6489.0,2358.0,399.0,7666.0,-73.0,-75.0,-59.0,-60.0,844.0,900.0,688.0,723.0
